rating,review_count,name,cuisine,price,location/city,location/display_address/0,location/display_address/1,location/country,location/address2,location/address3,location/state,location/address1,location/zip_code,id,location/display_address/2
4,1410,The Dead Rabbit,bar,$$,New York,30 Water St,"New York, NY 10004",US,,,NY,30 Water St,10004,RemvTpxalDjSew5HwmNzUQ,
4,306,The Ship,bar,$$,New York,158 Lafayette St,"New York, NY 10013",US,,,NY,158 Lafayette St,10013,AydiQxXWQLqVrZ9sEZTxtw,
4.5,58,The Binc,bar,$$,Brooklyn,60 Henry St,"Brooklyn, NY 11201",US,,,NY,60 Henry St,11201,5Fz1WlY3lxy8gJFs8s_1Dw,
4,381,The Up & Up,bar,$$,New York,116 MacDougal St,"New York, NY 10012",US,,,NY,116 MacDougal St,10012,zWrZBXj5F2V_0UknnTfqbw,
4,1388,Apothèke,bar,$$$,New York,9 Doyers St,"New York, NY 10013",US,,,NY,9 Doyers St,10013,P3NfoMjBy_o2BTNNZ-5okg,
3.5,2,Dusk Til Dawn Bar & Lounge,bar,,Brooklyn,193 Marcus Garvey Blvd,"Brooklyn, NY 11221",US,,,NY,193 Marcus Garvey Blvd,11221,mcoY5kjynQ6aNnzKhgeOxw,
4,397,The Library,bar,$,New York,7 Ave A,"New York, NY 10009",US,,,NY,7 Ave A,10009,H8mnryiCI02N00g9vuFDLg,
4,298,Nitecap,bar,$$,New York,151 Rivington St,"New York, NY 10002",US,,,NY,151 Rivington St,10002,iM3zYjjmnJ06VVmxvTo9eQ,
4,351,Botanica Bar,bar,$,New York,47 E Houston St,Ste B,US,Ste B,,NY,47 E Houston St,10012,zvxUXRQOqzsyFiCKS09_JQ,"New York, NY 10012"
4,483,Attaboy,bar,$$$,New York,134 Eldridge St,"New York, NY 10002",US,,,NY,134 Eldridge St,10002,H7S7-vF2z_HfaLo6BGPetw,
4.5,748,Whiskey Tavern,bar,$$,New York,79 Baxter St,"New York, NY 10013",US,,,NY,79 Baxter St,10013,c3Ww3pgeHjBi3ctkeUWrjQ,
4.5,1392,Raines Law Room,bar,$$$,New York,48 W 17th St,"New York, NY 10011",US,,,NY,48 W 17th St,10011,J4pAppaiXwCkbLOGc4wHww,
4,568,District Social,bar,$$,New York,252 W 37th St,"New York, NY 10018",US,,,NY,252 W 37th St,10018,eTR6nfHvQzvKX7Dcd6JrfA,
4,476,The Belfry,bar,$$,New York,222 E 14th St,"New York, NY 10003",US,,,NY,222 E 14th St,10003,gjwELZmHUNO0WdqXYBEbcg,
3,37,1 Rooftop Garden & Bar,bar,$$$,Brooklyn,60 Furman St,"Brooklyn, NY 11201",US,,,NY,60 Furman St,11201,_Tn0eN5E37WBf8oVdOA9BA,
4,291,Rooftop 93,bar,$$,New York,93 Bowery,"New York, NY 10002",US,,,NY,93 Bowery,10002,511OTzlr0FkL4esfBxMzIw,
4,442,Ward III,bar,$$,New York,111 Reade St,"New York, NY 10013",US,,,NY,111 Reade St,10013,X_2RR5F7Bq3jos28dQuvlg,
5,6,The Upstairs at 66,bar,,New York,46 Stone St,"New York, NY 10004",US,,,NY,46 Stone St,10004,X0f9UYHoE4OxnuUq801vMg,
4,1189,Hometown Bar-B-Que,bbq,$$,Brooklyn,454 Van Brunt St,"Brooklyn, NY 11231",US,,,NY,454 Van Brunt St,11231,Ms3CAGddVbgetiQrpzqxPQ,
4,1695,Mighty Quinn's Barbeque,bbq,$$,New York,103 2nd Ave,"New York, NY 10003",US,,,NY,103 2nd Ave,10003,LsITU8KVYMhV_fatv84wWA,
4,2186,Fette Sau,bbq,$$,Brooklyn,354 Metropolitan Ave,"Brooklyn, NY 11211",US,,,NY,354 Metropolitan Ave,11211,mlGfXoxc8cEss8Yms6VrXg,
4,763,Mable's Smokehouse & Banquet Hall,bbq,$$,Brooklyn,44 Berry St,"Brooklyn, NY 11249",US,,,NY,44 Berry St,11249,nsAU6F2vmdnphmfIa_RuWg,
4,1828,Butcher Bar,bbq,$$,Astoria,37-10 30th Ave,"Astoria, NY 11103",US,,,NY,37-10 30th Ave,11103,nkfUKb7oWQt54Uz9VQLhUg,
3.5,130,Friendship Foods BBQ,bbq,$$,Flushing,36-22 Union St,"Flushing, NY 11354",US,,,NY,36-22 Union St,11354,k8vE6g59i4JrAmXd6K1g5w,
4,2827,Dinosaur Bar-B-Que,bbq,$$,Harlem,700 W 125th St,"Harlem, NY 10027",US,,,NY,700 W 125th St,10027,XzUW9MvEGOFs9_aNj11j2Q,
4,406,Pig Beach,bbq,$$,Brooklyn,480 Union St,"Brooklyn, NY 11231",US,,,NY,480 Union St,11231,Zzvqc7XcyGVX5bnjGN9IXA,
4,1554,Jongro BBQ,bbq,$$,New York,22 W 32nd St,Fl 2,US,Fl 2,,NY,22 W 32nd St,10001,FZpm4_fbd6P984foOUejWg,"New York, NY 10001"
4,1055,Hometown Hotpot & BBQ,bbq,$$,New York,194 Grand St,"New York, NY 10013",US,,,NY,194 Grand St,10013,zEIt0xaPM9DIS-pc118O6A,
3,172,Funny BBQ,bbq,$$,New York,98 Bowery,"New York, NY 10013",US,,,NY,98 Bowery,10013,_VWpp7qBwJTAEwc4U2QX8Q,
4,58,Randalls Barbecue,bbq,,New York,359 Grand St,"New York, NY 10002",US,,,NY,359 Grand St,10002,6_PMTcR0SztUR9QVzDEtEA,
4,798,John Brown Smokehouse,bbq,$$,Long Island City,10-43 44th Dr,"Long Island City, NY 11101",US,,,NY,10-43 44th Dr,11101,4DQ1S0s5ViRsw_wpcT65cw,
3.5,1499,Dinosaur Bar-B-Que,bbq,$$,Brooklyn,604 Union St,"Brooklyn, NY 11215",US,,,NY,604 Union St,11215,0ef3Q3RvIqfFzZoOfA2amg,
4,1119,Kang Ho Dong Baekjeong,bbq,$$$,New York,1 E 32nd St,"New York, NY 10016",US,,,NY,1 E 32nd St,10016,x9ADy3a--S_6Oqn_1KLipA,
3,60,Shokunin BBQ,bbq,$$$,Brooklyn,952 60th St,"Brooklyn, NY 11219",US,,,NY,952 60th St,11219,AAPJkyU0Y7Aci0RZBdJONg,
4,1615,99 Favor Taste,bbq,$$,New York,285 Grand St,"New York, NY 10002",US,,,NY,285 Grand St,10002,Xf6e3HaP0AgMBxY7dEDkOA,
3.5,2088,Hill Country Barbecue Market,bbq,$$,New York,30 W 26th St,"New York, NY 10010",US,,,NY,30 W 26th St,10010,NlsxuhV6CUONOyI7xk7-mw,
4,258,Pig Heaven,bbq,$$,New York,1420 3rd Ave,"New York, NY 10028",US,,,NY,1420 3rd Ave,10028,sfsjk1h50ooC2ioY7m48gw,
4.5,352,Red White & Que Smokehouse,bbq,$$,Kearny,266 Davis Ave,"Kearny, NJ 07032",US,,,NJ,266 Davis Ave,07032,PmevHhcrsfeAYuA7RBPh0g,
4.5,1334,The MasalaWala,indian,$$,New York,179 Essex St,"New York, NY 10002",US,,,NY,179 Essex St,10002,sCC7-hSdCkNPExejZT9BAQ,
4.5,1506,Bengal Tiger Indian Food,indian,$$,New York,58 W 56th St,Fl 2,US,Fl 2,,NY,58 W 56th St,10019,x0k5kFArHLijdY8-NEQ7Xg,"New York, NY 10019"
4,425,Benares,indian,$$,New York,45 Murray Street,"New York, NY 10007",US,,,NY,45 Murray Street,10007,iXSuNKKUBIrBX7zUerlQDQ,
4,669,Pippali,indian,$$,New York,129 E 27th St,"New York, NY 10016",US,,,NY,129 E 27th St,10016,HEs6llkn3wIP1ATXeIZQew,
4,84,Indian Table,indian,$$,Brooklyn,234 Court St,"Brooklyn, NY 11201",US,,,NY,234 Court St,11201,BXoW0AUDE7WZJcY-Vhqlbg,
4.5,227,Ashoka Indian Restaurant,indian,$$,New York,489 Columbus Ave,"New York, NY 10024",US,,,NY,489 Columbus Ave,10024,15svH3HiVDwHMSIlRYpk6A,
4.5,277,Tikka Indian Grill,indian,$$,Brooklyn,185 Grand St,"Brooklyn, NY 11211",US,,,NY,185 Grand St,11211,WWpOWqOgS9ClYvxYVzR0lg,
4.5,258,Aahar Indian Cuisine,indian,$$,New York,10 Murray St,"New York, NY 10007",US,,,NY,10 Murray St,10007,_z2_1TE_1brlvljiGtJ4mA,
4.5,875,The Drunken Munkey - UES,indian,$$,New York,338 E 92nd St,"New York, NY 10128",US,,,NY,338 E 92nd St,10128,9pMhRYYgV7E9L7pzECtJKA,
4,522,Malai Marke Indian Cuisine,indian,$$,New York,318 E 6th St,"New York, NY 10003",US,,,NY,318 E 6th St,10003,7DUPGtHqVZHJ3yIufbWLsg,
4.5,275,Mughlai Grill,indian,$$,New York,6 Clinton St,"New York, NY 10002",US,,,NY,6 Clinton St,10002,_7BGw3YFNOTzP1Www3zB7g,
4,827,Tamarind,indian,$$$,New York,99 Hudson St,"New York, NY 10013",US,,,NY,99 Hudson St,10013,kS2CP48K66yL2TwIhUqy_A,
4.5,159,Adda,indian,$$,Long Island City,31-31 Thomson Ave,"Long Island City, NY 11101",US,,,NY,31-31 Thomson Ave,11101,Xl-zlT0NLLiKhym88em22w,
4.5,113,Spice & Grill,indian,$$,Brooklyn,441 Myrtle Ave,"Brooklyn, NY 11205",US,,,NY,441 Myrtle Ave,11205,iXrKGRzIZK0pp31mO3nBzA,
4,187,Surya,indian,$$,New York,154 Bleecker St,"New York, NY 10012",US,,,NY,154 Bleecker St,10012,_R6EjbrynW_LFnmWoRqgww,
4.5,218,Kitchen Grill Indian Restaurant,indian,$$,Brooklyn,914A Fulton St,"Brooklyn, NY 11238",US,,,NY,914A Fulton St,11238,YDtIHtfvWd4W36wq6UAjoA,
4,284,Mint Masala,indian,$$,New York,95 Macdougal St,"New York, NY 10012",US,,,NY,95 Macdougal St,10012,FvnExtQHPfz_crDCBTQ1iQ,
4,440,Baar Baar,indian,$$$,New York,13 E 1st St,"New York, NY 10003",US,,,NY,13 E 1st St,10003,jYhbUh1TV7SCfPxjIhVpcg,
4.5,473,Indian Accent,indian,$$$$,New York,123 W 56th St,"New York, NY 10019",US,,,NY,123 W 56th St,10019,1_pK5aQ47atF50oAKHADhA,
4,234,Ahimsa,indian,$$,New York,210 Thompson St,"New York, NY 10012",US,,,NY,210 Thompson St,10012,N7pDKAFOR1F_oCVH_Fc7Wg,
4.5,544,Despaña,spanish,$$,New York,408 Broome St,"New York, NY 10013",US,,,NY,408 Broome St,10013,cUyfnb3E7HvzNfbTgTjl_Q,
4,1792,Alta,spanish,$$$,New York,64 W 10th St,"New York, NY 10011",US,,,NY,64 W 10th St,10011,XEugUtbw4rRmGr9S1XA-aQ,
4,687,Las Ramblas,spanish,$$,New York,170 W 4th St,"New York, NY 10014",US,,,NY,170 W 4th St,10014,WFOaud0jlpXQ9aEecipUqg,
4,1092,Socarrat Paella Bar - Chelsea,spanish,$$$,New York,259 W 19th St,"New York, NY 10011",US,,,NY,259 W 19th St,10011,DiHm4iIAQhqMKfjsrBPvZw,
4,908,Boqueria Spanish Tapas - Soho,spanish,$$$,New York,171 Spring St,"New York, NY 10012",US,,,NY,171 Spring St,10012,AIKjw2QLvVNdha3TciJYzg,
4.5,185,Tomiño Taberna Gallega,spanish,$$$,New York,192 Grand St,"New York, NY 10013",US,,,NY,192 Grand St,10013,EHINHIbLklEUShuANKjGgw,
3.5,42,Mercado Little Spain,spanish,$$,New York,10 Hudson Yards,"New York, NY 10001",US,,,NY,10 Hudson Yards,10001,rrL05CECQO4sQXCc5BF90g,
4,290,Huertas,spanish,$$,New York,107 1st Ave,"New York, NY 10003",US,,,NY,107 1st Ave,10003,fVslDZ8dGsVmcRhS0R0kFg,
4,2458,Calle Ocho,spanish,$$,New York,45 W 81st St,"New York, NY 10024",US,,,NY,45 W 81st St,10024,H9GD7km7riFooM0FkdwOPg,
4,644,Boqueria Spanish Tapas - Upper East Side,spanish,$$$,New York,1460 2nd Ave,"New York, NY 10075",US,,,NY,1460 2nd Ave,10075,5S8ZK9XLdl4l645twbNYZQ,
4.5,270,El Born,spanish,$$,Brooklyn,651 Manhattan Ave,"Brooklyn, NY 11222",US,,,NY,651 Manhattan Ave,11222,gvMYV5E3HyzhN_MYFIMGzg,
4,160,El Pote Español Restaurant,spanish,$$,New York,718 2nd Ave,"New York, NY 10016",US,,,NY,718 2nd Ave,10016,5IGFJRN06HiclnivxaFThQ,
4.5,738,Rincon Criollo,spanish,$$,Corona,40-09 Junction Blvd,"Corona, NY 11368",US,,,NY,40-09 Junction Blvd,11368,zekbMn7KWtzxTFLtfEqb1w,
4,1185,Boqueria Spanish Tapas - Flatiron,spanish,$$$,New York,53 W 19th St,"New York, NY 10011",US,,,NY,53 W 19th St,10011,qIOAlXCCYrwN0VxEEH-Tmw,
4,765,Sala One Nine,spanish,$$,New York,35 W 19th St,"New York, NY 10011",US,,,NY,35 W 19th St,10011,OUzTKc5YcCPOPG5e8Di67g,
4.5,3,Mar at Mercado Little Spain,spanish,,New York,10 Hudson Yards,"New York, NY 10001",US,,,NY,10 Hudson Yards,10001,J5JJbRZ9ttn-TtS8KkmTNQ,
4,847,Nai Tapas,spanish,$$,New York,85 2nd Ave,"New York, NY 10003",US,,,NY,85 2nd Ave,10003,iTj5T_jPYvznd1QTgs7NZw,
3.5,425,Sevilla Restaurant,spanish,$$,New York,62 Charles St,"New York, NY 10014",US,,,NY,62 Charles St,10014,RQi2YmAkk8g9WdNStAhfbQ,
4,316,El Porron,spanish,$$,New York,1123 1st Ave,"New York, NY 10065",US,,,NY,1123 1st Ave,10065,W5j4EA1fDT3EKdXdKABG3Q,
4,883,Cabana,spanish,$$,Forest Hills,107-10 70th Rd,"Forest Hills, NY 11375",US,,,NY,107-10 70th Rd,11375,gEEqoeSekTOjRVmyY4fplA,
4,5284,Peter Luger,steakhouse,$$$$,Brooklyn,178 Broadway,"Brooklyn, NY 11211",US,,,NY,178 Broadway,11211,4yPqqJDJOQX69gC66YUDkA,
4.5,2557,Club A Steakhouse,steakhouse,$$$,New York,240 E 58th St,"New York, NY 10022",US,,,NY,240 E 58th St,10022,A_YpTLbAlEqeLVSs9bxbEA,
4.5,751,DeStefano's Steakhouse,steakhouse,$$$,Brooklyn,89 Conselyea St,"Brooklyn, NY 11211",US,,,NY,89 Conselyea St,11211,hthvpEL7JEbfxfD6iP9axQ,
4.5,2750,Del Frisco's Double Eagle Steakhouse,steakhouse,$$$$,New York,1221 Ave Of The Americas,"New York, NY 10020",US,,,NY,1221 Ave Of The Americas,10020,b8a-8u_A51v2IzyjLVsx6w,
4,2343,Keens Steakhouse,steakhouse,$$$$,New York,72 W 36th St,"New York, NY 10018",US,,,NY,72 W 36th St,10018,pQuZDnefX038xurT1BhDXA,
4.5,449,Boucherie Union Square,steakhouse,$$$,New York,225 Park Ave S,"New York, NY 10003",US,,,NY,225 Park Ave S,10003,8XHbZIKDQbXhyKIGiukVeQ,
4,978,Gallaghers Steakhouse,steakhouse,$$$,New York,228 W 52nd St,"New York, NY 10019",US,,,NY,228 W 52nd St,10019,hk3ohp_A4L4UgWTexDxf_Q,
4.5,989,Boucherie West Village,steakhouse,$$$,New York,99 7th Ave S,"New York, NY 10014",US,,,NY,99 7th Ave S,10014,s3jou_L_LVYGkNHiuhjlew,
4.5,293,Rocco Steakhouse,steakhouse,$$$,New York,72 Madison Ave,"New York, NY 10016",US,,,NY,72 Madison Ave,10016,REDWyPG0UJc5u8iU8mP6Hw,
4,341,Salt + Charcoal,steakhouse,$$,Brooklyn,171 Grand St,"Brooklyn, NY 11249",US,,,NY,171 Grand St,11249,m1cJLpDN4B-_0hGgPfe5OA,
4,421,Bowery Meat Company,steakhouse,$$$,New York,9 E 1st St,"New York, NY 10003",US,,,NY,9 E 1st St,10003,qpkFmGyvbZv-g2fbwyNQUg,
4,913,Wolfgang's Steakhouse,steakhouse,$$$$,New York,4 Park Ave,"New York, NY 10016",US,,,NY,4 Park Ave,10016,ikb5lhHmb2xndNZM-jr_Mw,
5,193,4 Charles Prime Rib,steakhouse,$$$,New York,4 Charles St,"New York, NY 10014",US,,,NY,4 Charles St,10014,ZOa13veZkzGjA-x3kMfOmA,
4,1873,Quality Meats,steakhouse,$$$$,New York,57 W 58th St,"New York, NY 10019",US,,,NY,57 W 58th St,10019,kB-lmHs7yNwLIlQyp0kMmQ,
4,714,Ikinari Steak East Village,steakhouse,$$,New York,90 E 10th St,"New York, NY 10003",US,,,NY,90 E 10th St,10003,kr_Wu5m0P-AEghraNqXeTA,
4,943,Strip House,steakhouse,$$$$,New York,13 E 12th St,"New York, NY 10003",US,,,NY,13 E 12th St,10003,DijUyfUGs6WoN4dp0_OANQ,
4,519,Wolfgang's Steakhouse,steakhouse,$$$$,New York,409 Greenwich St,Tribeca,US,,Tribeca,NY,409 Greenwich St,10013,hFZ5qw8gvWiBUbmbahSalg,"New York, NY 10013"
4.5,574,Mastro's Steakhouse,steakhouse,$$$$,New York,1285 Avenue of the Americas,"New York, NY 10019",US,,,NY,1285 Avenue of the Americas,10019,iAoHFfB_T8U31PhIzD-o_g,
4.5,268,Amber Steak House,steakhouse,$$$,Brooklyn,119 Nassau Ave,"Brooklyn, NY 11222",US,,,NY,119 Nassau Ave,11222,l2ROlwwJcTPmi_2l3A9oyQ,
4.5,264,El Mate,steakhouse,$$,Brooklyn,550 Court St,"Brooklyn, NY 11231",US,,,NY,550 Court St,11231,L0XYugkXpuACPMQ451MB8g,
